Price,Location,Size,Room,Bathroom,Parking
1053923,"Yanahuara, Arequipa",230,3,2,2
928625,"Cerro Colorado, Arequipa",128,4,3,1
1064000,"Los Angeles De Cayma, Cayma",92,4,3,1
1575000,"Primavera, Yanahuara",300,4,2,2
3375000,"Cerro Colorado, Arequipa",630,4,5,2
2653000,"Cerro Colorado, Arequipa",308,3,4,3
2917000,"Yanahuara, Arequipa",565,3,4,3
2711500,"Selva Alegre, Arequipa",683,4,3,3
3610000,"La Campiña, Cayma",562,4,3,2
988000,"Sachaca, Arequipa",200,3,2,1
1026000,"Cercado, Arequipa",138,3,2,1
1190400,"Sachaca, Arequipa",258,6,5,1
1367478,"Arequipa, Arequipa",312,5,3,1
2261000,"Cayma, Arequipa",243,3,4,2
4070000,"La Planicie De Challapampa, Cerro Colorado",747,4,4,2
3500000,"Cerro Colorado, Arequipa",605,4,5,2
5031000,"Cerro Colorado, Arequipa",817,4,4,4
5412360,"Cerro Colorado, Arequipa",4800,,,
